"rdate","country","circuit","perim","nlap","totdist","racename"
"20110327","australia","melbourne",5303,58,307.57,"2011australia"
"20110410","malaysia","sepang",5543,56,310.41,"2011malaysia"
"20110417","china","shanghai",5451,56,305.07,"2011china"
"20110508","turkey","istanbul",5338,58,309.4,"2011turkey"
"20110522","spain","catalunya",4655,66,307.1,"2011spain"
"20110529","monaco","monte carlo",3340,78,260.52,"2011monaco"
"20110612","canada","montreal",4361,70,305.27,"2011canada"
"20110626","europe","valencia s",5419,57,308.88,"2011europe"
"20110710","great britain","silverstone",5891,52,306.2,"2011greatbritain"
"20110724","germany","nurburgring",5148,60,308.62,"2011germany"
"20110731","hungary","hungaroring",4381,70,306.63,"2011hungary"
"20110828","belgium","spa francorchamps",7004,44,308.05,"2011belgium"
"20110911","italy","monza",5793,53,306.72,"2011italy"
"20110925","singapore","marina bay",5073,61,309.32,"2011singapore"
"20111009","japan","suzuka",5807,53,307.47,"2011japan"
"20111016","korea","korea",5615,55,308.63,"2011korea"
"20111030","india","buddh",5125,60,307.25,"2011india"
"20111113","abu dhabi","yas marina",5554,55,305.36,"2011abudhabi"
"20111127","brazil","interlagos",4309,71,305.91,"2011brazil"
