"date","country","circuit","perim","nlap","totdist","htmlname","racename"
2017-03-26,"australia","melbourne","5303","57","302.271","20170001","2017australia"
2017-04-09,"china","shanghai","5451","56","305.066","20170002","2017china"
2017-04-16,"bahrain","bahrain","5412","57","308.238","20170003","2017bahrain"
2017-04-30,"russia","sochi","5848","52","303.897","20170004","2017russia"
2017-05-14,"spain","catalunya","4655","66","307.104","20170005","2017spain"
2017-05-28,"monaco","monte carlo","3337","78","260.286","20170006","2017monaco"
2017-06-11,"canada","montreal","4361","70","305.270","20170007","2017canada"
2017-06-25,"azerbaijan","baku","6003","51","306.049","20170008","2017azerbaijan"
2017-07-09,"austria","red bull ring","4318","71","306.452","20170009","2017austria"
2017-07-16,"great britain","silverstone","5891","51","300.307","20170010","2017greatbritain"
2017-07-30,"hungary","hungaroring","4381","70","306.630","20170011","2017hungary"
2017-08-27,"belgium","spa francorchamps","7004","44","308.052","20170012","2017belgium"
2017-09-03,"italy","monza","5793","53","306.720","20170013","2017italy"
2017-09-17,"singapore","marina bay","5065","58","293.633","20170014","2017singapore"
2017-10-01,"malaysia","sepang","5543","56","310.408","20170015","2017malaysia"
2017-10-08,"japan","suzuka","5807","53","307.471","20170016","2017japan"
2017-10-22,"usa","americas","5513","56","308.405","20170017","2017usa"
2017-10-29,"mexico","mexico city","4304","71","305.354","20170018","2017mexico"
2017-11-12,"brazil","interlagos","4309","71","305.909","20170019","2017brazil"
2017-11-26,"abu dhabi","yas marina","5554","55","305.355","20170020","2017abudhabi"
