"rdate","country","circuit","perim","nlap","totdist","racename"
"20130317","australia","melbourne",5303,58,307.57,"2013australia"
"20130324","malaysia","sepang",5543,56,310.41,"2013malaysia"
"20130414","china","shanghai",5451,56,305.07,"2013china"
"20130421","bahrain","bahrain",5412,57,308.24,"2013bahrain"
"20130512","spain","catalunya",4655,66,307.1,"2013spain"
"20130526","monaco","monte carlo",3340,78,260.52,"2013monaco"
"20130609","canada","montreal",4361,70,305.27,"2013canada"
"20130630","great britain","silverstone",5891,52,306.2,"2013greatbritain"
"20130707","germany","nurburgring",5148,60,308.62,"2013germany"
"20130728","hungary","hungaroring",4381,70,306.63,"2013hungary"
"20130825","belgium","spa francorchamps",7004,44,308.05,"2013belgium"
"20130908","italy","monza",5793,53,306.72,"2013italy"
"20130922","singapore","marina bay",5065,61,308.83,"2013singapore"
"20131006","korea","korea",5615,55,308.63,"2013korea"
"20131013","japan","suzuka",5807,53,307.47,"2013japan"
"20131027","india","buddh",5125,60,307.25,"2013india"
"20131103","abu dhabi","yas marina",5554,55,305.36,"2013abudhabi"
"20131117","usa","americas",5513,56,308.41,"2013usa"
"20131124","brazil","interlagos",4309,71,305.91,"2013brazil"
