"rdate","country","circuit","perim","nlap","totdist","racename"
"20120318","australia","melbourne",5303,58,307.57,"2012australia"
"20120325","malaysia","sepang",5543,56,310.41,"2012malaysia"
"20120415","china","shanghai",5451,56,305.07,"2012china"
"20120422","bahrain","bahrain",5412,57,308.24,"2012bahrain"
"20120513","spain","catalunya",4655,66,307.1,"2012spain"
"20120527","monaco","monte carlo",3340,78,260.52,"2012monaco"
"20120610","canada","montreal",4361,70,305.27,"2012canada"
"20120624","europe","valencia s",5419,57,308.88,"2012europe"
"20120708","great britain","silverstone",5891,52,306.2,"2012greatbritain"
"20120722","germany","hockenheim",4574,67,306.46,"2012germany"
"20120729","hungary","hungaroring",4381,69,302.25,"2012hungary"
"20120902","belgium","spa francorchamps",7004,44,308.05,"2012belgium"
"20120909","italy","monza",5793,53,306.72,"2012italy"
"20120923","singapore","singapore",5073,59,299.17,"2012singapore"
"20121007","japan","suzuka",5807,53,307.47,"2012japan"
"20121014","korea","korea",5615,55,308.63,"2012korea"
"20121028","india","buddh",5125,60,307.25,"2012india"
"20121104","abu dhabi","yas marina",5554,55,305.36,"2012abudhabi"
"20121118","usa","americas",5513,56,308.41,"2012usa"
"20121125","brazil","interlagos",4309,71,305.91,"2012brazil"
