"rdate","country","circuit","perim","nlap","totdist","racename"
"20150315","australia","melbourne","5303","58","307.574","2015australia"
"20150329","malaysia","sepang","5543","56","310.408","2015malaysia"
"20150412","china","shanghai","5451","56","305.066","2015china"
"20150419","bahrain","bahrain","5412","57","308.238","2015bahrain"
"20150510","spain","catalunya","4655","66","307.104","2015spain"
"20150524","monaco","monte carlo","3337","78","260.286","2015monaco"
"20150607","canada","montreal","4361","70","305.270","2015canada"
"20150621","austria","red bull ring","4326","71","307.020","2015austria"
"20150705","great britain","silverstone","5891","52","306.198","2015greatbritain"
"20150726","hungary","hungaroring","4381","69","302.249","2015hungary"
"20150823","belgium","spa francorchamps","7004","43","301.048","2015belgium"
"20150906","italy","monza","5793","53","306.720","2015italy"
"20150920","singapore","marina bay","5065","61","308.828","2015singapore"
"20150927","japan","suzuka","5807","53","307.471","2015japan"
"20151011","russia","sochi","5848","53","309.745","2015russia"
"20151025","usa","americas","5513","56","308.405","2015usa"
"20151101","mexico","mexico city","4304","71","305.354","2015mexico"
"20151115","brazil","interlagos","4309","71","305.909","2015brazil"
"20151129","abu dhabi","yas marina","5554","55","305.355","2015abudhabi"
