"race","driver","1stFree","2ndFree","3rdFree","1stQualif","2ndQualif","3rdQualif"
"2010bahrain","asutil",116.583,117.361,115.521,115.213,114.996,116.309
"2010bahrain","bsenna",NA,126.968,124.001,123.24,NA,NA
"2010bahrain","falonso",116.766,117.14,114.099,114.612,114.172,114.608
"2010bahrain","fmassa",117.055,116.555,114.739,115.313,114.331,114.242
"2010bahrain","hkovalainen",123.848,120.873,119.789,120.313,NA,NA
"2010bahrain","jalguersuari",117.722,119.799,116.504,117.071,NA,NA
"2010bahrain","jbutton",117.068,116.076,115,115.715,115.168,115.672
"2010bahrain","jtrulli",123.97,120.99,121.259,119.852,NA,NA
"2010bahrain","kchandhok",NA,NA,NA,124.904,NA,NA
"2010bahrain","kkobayashi",121.388,117.352,116.53,116.541,116.27,NA
"2010bahrain","ldigrassi",NA,122.188,NA,120.587,NA,NA
"2010bahrain","lhamilton",117.163,115.854,115.86,115.341,114.707,115.217
"2010bahrain","mschumacher",117.662,115.903,114.533,115.593,115.105,115.524
"2010bahrain","mwebber",117.255,120.444,114.5,115.298,114.318,115.284
"2010bahrain","nhulkenberg",117.894,116.501,115.461,116.375,115.857,NA
"2010bahrain","nrosberg",117.199,115.409,114.368,115.463,114.682,115.241
"2010bahrain","pdelarosa",120.25,117.255,116.063,116.428,116.237,NA
"2010bahrain","rbarrichello",118.782,117.452,116.259,115.969,115.33,NA
"2010bahrain","rkubica",117.041,118.155,115.331,115.511,114.963,115.885
"2010bahrain","sbuemi",118.399,NA,116.295,116.189,116.265,NA
"2010bahrain","svettel",117.943,116.459,114.646,115.029,113.883,114.101
"2010bahrain","tglock",123.68,122.037,119.173,119.728,NA,NA
"2010bahrain","vliuzzi",117.194,117.833,115.432,115.628,115.653,NA
"2010bahrain","vpetrov",118.88,116.75,116.811,116.167,116.619,NA
"2010australia","asutil",NA,86.834,85.525,85.504,85.046,86.036
"2010australia","bsenna",93.401,NA,96.649,90.526,NA,NA
"2010australia","falonso",87.747,89.025,84.929,85.082,84.335,84.111
"2010australia","fmassa",87.511,89.591,85.549,85.548,85.01,84.837
"2010australia","hkovalainen",91.654,89.86,89.539,88.797,NA,NA
"2010australia","jalguersuari",88.572,90.51,86.368,86.095,86.089,NA
"2010australia","jbutton",87.482,86.076,85.399,84.897,84.531,84.675
"2010australia","jtrulli",91.652,90.695,89.8,89.111,NA,NA
"2010australia","kchandhok",94.251,NA,94.334,90.613,NA,NA
"2010australia","kkobayashi",91.588,87.455,86.275,86.251,85.777,NA
"2010australia","ldigrassi",92.831,NA,90.8,90.185,NA,NA
"2010australia","lhamilton",87.793,85.801,85.505,85.046,85.184,NA
"2010australia","mschumacher",88.55,86.511,84.963,85.351,84.871,84.927
"2010australia","mwebber",88.683,86.248,84.719,85.286,84.276,84.035
"2010australia","nhulkenberg",90.249,87.545,86.804,85.866,85.748,NA
"2010australia","nrosberg",87.126,86.956,85.366,84.788,84.788,84.884
"2010australia","pdelarosa",89.465,87.108,86.818,86.089,85.747,NA
"2010australia","rbarrichello",89.712,86.904,85.852,85.702,85.085,85.217
"2010australia","rkubica",86.927,87.108,86.184,85.588,85.122,85.372
"2010australia","sbuemi",88.014,86.832,86.104,86.061,85.638,NA
"2010australia","svettel",87.686,89.134,85.122,84.774,84.096,83.919
"2010australia","tglock",94.925,92.117,91.114,89.592,NA,NA
"2010australia","vliuzzi",88.192,86.835,85.782,86.17,85.743,NA
"2010australia","vpetrov",88.114,86.732,86.661,86.471,NA,NA
"2010malaysia","asutil",95.955,95.957,94.623,109.479,107.085,110.914
"2010malaysia","bsenna",101.832,101.481,99.868,117.269,NA,NA
"2010malaysia","falonso",95.959,95.581,93.751,113.044,NA,NA
"2010malaysia","fmassa",96.451,96.602,94.174,113.283,NA,NA
"2010malaysia","hkovalainen",NA,98.53,98.161,112.875,112.27,NA
"2010malaysia","jalguersuari",96.645,96.325,95.026,108.655,109.464,NA
"2010malaysia","jbutton",95.207,94.538,94.113,112.211,NA,NA
"2010malaysia","jtrulli",99.46,98.454,97.369,112.884,NA,NA
"2010malaysia","kchandhok",101.966,101.084,99.895,116.299,NA,NA
"2010malaysia","kkobayashi",96.503,96.018,96.404,108.467,107.792,111.767
"2010malaysia","ldigrassi",100.159,99.158,98.783,119.977,NA,NA
"2010malaysia","lhamilton",94.921,94.175,93.559,113.05,NA,NA
"2010malaysia","mschumacher",95.225,94.674,93.992,112.239,108.4,111.717
"2010malaysia","mwebber",95.479,98.786,93.542,111.886,108.21,109.327
"2010malaysia","nhulkenberg",97.802,97.415,94.882,109.664,107.346,111.001
"2010malaysia","nrosberg",95.106,94.443,94.09,112.56,107.417,110.673
"2010malaysia","pdelarosa",96.899,96.325,95.477,107.153,108.771,NA
"2010malaysia","rbarrichello",98.278,96.813,94.54,110.301,108.371,111.511
"2010malaysia","rkubica",95.402,95.148,94.549,106.283,106.951,111.051
"2010malaysia","sbuemi",96.1,95.66,94.673,108.945,109.207,NA
"2010malaysia","svettel",96.043,94.441,93.587,107.632,106.828,110.789
"2010malaysia","tglock",99.755,99.061,97.299,112.398,112.52,NA
"2010malaysia","vliuzzi",NA,96.221,94.957,109.922,108.238,112.254
"2010malaysia","vpetrov",96.712,95.872,95.076,107.952,108.76,NA
"2010china","asutil",98.008,96.254,97.24,96.671,95.665,95.963
"2010china","bsenna",103.875,101.345,100.316,100.469,NA,NA
"2010china","falonso",NA,96.604,95.857,95.987,95.235,94.913
"2010china","fmassa",98.098,96.944,96.416,96.076,95.29,95.18
"2010china","hkovalainen",101.779,99.947,99.616,99.52,NA,NA
"2010china","jalguersuari",98.161,96.377,96.879,96.618,96.047,NA
"2010china","jbutton",96.677,95.593,95.747,96.122,95.443,94.979
"2010china","jtrulli",101.531,99.624,99.776,99.399,NA,NA
"2010china","kchandhok",103.949,101.008,101.141,100.578,NA,NA
"2010china","kkobayashi",98.375,97.431,96.634,97.044,96.422,NA
"2010china","ldigrassi",102.181,101.107,99.749,99.783,NA,NA
"2010china","lhamilton",96.775,95.217,95.564,95.641,94.928,95.034
"2010china","mschumacher",97.509,95.602,96.262,96.484,95.715,95.646
"2010china","mwebber",97.98,95.995,95.323,95.978,95.1,94.806
"2010china","nhulkenberg",98.569,97.867,97.784,97.049,96.647,NA
"2010china","nrosberg",96.748,95.465,95.913,95.952,95.134,94.923
"2010china","pdelarosa",98.421,97.421,97.664,97.05,97.02,NA
"2010china","rbarrichello",98.678,97.657,97.585,96.664,95.748,NA
"2010china","rkubica",97.716,96.389,96.343,96.348,95.55,95.364
"2010china","sbuemi",99.939,NA,97.192,96.793,96.149,NA
"2010china","svettel",97.601,95.791,95.691,96.317,95.28,94.558
"2010china","tglock",101.83,100.233,99.579,99.278,NA,NA
"2010china","vliuzzi",NA,97.804,97.031,97.161,NA,NA
"2010china","vpetrov",97.745,96.986,97.339,97.031,96.311,NA
"2010spain","asutil",NA,81.518,82.377,82.628,81.985,NA
"2010spain","bsenna",87.752,86.152,90.246,87.122,NA,NA
"2010spain","falonso",82.258,80.819,82.091,81.957,81.549,80.937
"2010spain","fmassa",82.975,81.302,81.749,82.564,81.841,81.585
"2010spain","hkovalainen",85.329,84.894,84.745,84.748,NA,NA
"2010spain","jalguersuari",83.11,82.449,82.926,82.593,82.207,NA
"2010spain","jbutton",81.672,81.364,81.376,81.915,81.168,80.991
"2010spain","jtrulli",86.244,84.209,84.61,84.674,NA,NA
"2010spain","kchandhok",NA,85.972,86.611,86.75,NA,NA
"2010spain","kkobayashi",82.492,81.931,82.412,82.577,81.725,81.984
"2010spain","ldigrassi",86.694,85.066,85.855,85.556,NA,NA
"2010spain","lhamilton",81.134,81.191,81.348,81.723,81.415,80.829
"2010spain","mschumacher",81.716,80.757,81.583,82.528,81.557,81.294
"2010spain","mwebber",82.011,80.175,81.232,81.412,80.655,79.995
"2010spain","nhulkenberg",83.471,83.765,82.634,82.857,82.131,NA
"2010spain","nrosberg",82.07,81.271,82.013,82.419,81.867,81.408
"2010spain","pdelarosa",NA,81.672,82.527,82.211,82.026,NA
"2010spain","rbarrichello",83.312,82.192,82.953,83.125,NA,NA
"2010spain","rkubica",82.202,81.202,82.242,82.488,81.599,81.353
"2010spain","sbuemi",82.588,82.184,82.4,82.699,82.191,NA
"2010spain","svettel",82.026,79.965,80.528,81.68,80.772,80.101
"2010spain","tglock",86.34,86.596,85.722,85.475,NA,NA
"2010spain","vliuzzi",83.284,81.904,83.597,83.084,82.854,NA
"2010spain","vpetrov",82.397,82.435,83.896,82.976,82.139,NA
"2010monaco","asutil",76.805,75.46,75.659,75.445,75.318,NA
"2010monaco","bsenna",81.688,82.148,79.72,78.509,NA,NA
"2010monaco","falonso",75.927,74.904,76.266,NA,NA,NA
"2010monaco","fmassa",76.517,75.12,74.852,74.757,74.405,74.283
"2010monaco","hkovalainen",79.606,78.184,77.782,77.094,NA,NA
"2010monaco","jalguersuari",77.991,77.023,75.769,76.021,76.176,NA
"2010monaco","jbutton",76.692,75.619,75.682,75.623,75.15,74.637
"2010monaco","jtrulli",79.902,78.667,77.865,77.134,NA,NA
"2010monaco","kchandhok",81.853,80.313,79.781,79.559,NA,NA
"2010monaco","kkobayashi",78.547,76.818,76.644,76.175,75.992,NA
"2010monaco","ldigrassi",80.566,78.478,78.063,77.864,NA,NA
"2010monaco","lhamilton",76.647,75.249,75.038,75.676,74.527,74.432
"2010monaco","mschumacher",76.589,75.143,75.236,75.649,74.691,74.59
"2010monaco","mwebber",76.382,75.62,74.945,75.035,74.462,73.826
"2010monaco","nhulkenberg",78.397,76.348,76.164,76.03,75.317,NA
"2010monaco","nrosberg",77.149,75.013,75.252,75.188,74.375,74.544
"2010monaco","pdelarosa",78.434,76.599,76.696,75.908,75.692,NA
"2010monaco","rbarrichello",77.331,76.522,76.232,75.59,75.083,74.901
"2010monaco","rkubica",76.016,75.192,74.806,75.045,74.549,74.12
"2010monaco","sbuemi",76.857,76.276,75.537,75.961,75.413,NA
"2010monaco","svettel",76,75.099,75.046,75.11,74.568,74.227
"2010monaco","tglock",79.527,78.721,NA,77.377,NA,NA
"2010monaco","vliuzzi",77.704,76.528,75.691,75.397,75.061,75.17
"2010monaco","vpetrov",77.718,75.746,76.24,75.482,75.576,NA
"2010turkey","asutil",90.501,89.629,NA,87.951,87.525,NA
"2010turkey","bsenna",NA,93.42,92.23,91.266,NA,NA
"2010turkey","falonso",90.294,88.725,87.861,87.857,87.612,NA
"2010turkey","fmassa",90.867,89.62,87.969,87.993,87.2,87.082
"2010turkey","hkovalainen",92.161,91.61,90.884,90.519,NA,NA
"2010turkey","jalguersuari",91.735,90.933,88.734,88.46,88.54,NA
"2010turkey","jbutton",89.615,88.28,87.963,87.555,87.277,86.781
"2010turkey","jtrulli",92.99,93.081,90.618,90.237,NA,NA
"2010turkey","kchandhok",94.876,93.74,92.762,92.06,NA,NA
"2010turkey","kkobayashi",90.615,90.053,89.036,88.158,87.434,88.122
"2010turkey","ldigrassi",95.137,93.013,92.18,91.989,NA,NA
"2010turkey","lhamilton",88.653,88.672,87.396,87.667,87.013,86.433
"2010turkey","mschumacher",89.75,88.974,87.879,87.756,87.438,86.857
"2010turkey","mwebber",90.097,88.378,87.553,87.5,86.818,86.295
"2010turkey","nhulkenberg",91.355,89.987,89.044,88.227,88.841,NA
"2010turkey","nrosberg",89.855,88.914,87.359,87.649,87.141,86.952
"2010turkey","pdelarosa",91.238,90.176,88.652,88.147,87.879,NA
"2010turkey","rbarrichello",91.464,90.766,89.305,88.336,88.392,NA
"2010turkey","rkubica",90.061,89.225,87.784,87.766,87.426,87.039
"2010turkey","sbuemi",91.011,90.386,88.61,88.534,88.273,NA
"2010turkey","svettel",89.867,88.59,87.086,87.067,86.729,86.76
"2010turkey","tglock",95.583,93.312,91.341,90.744,NA,NA
"2010turkey","vliuzzi",90.853,90.627,89.211,88.958,NA,NA
"2010turkey","vpetrov",90.065,89.501,88.344,87.62,87.387,87.43
"2010canada","asutil",79.373,77.415,76.673,76.495,76.295,75.881
"2010canada","bsenna",82.701,81.097,80.325,79.484,NA,NA
"2010canada","falonso",78.726,76.963,76.495,76.171,75.597,75.435
"2010canada","fmassa",79.511,77.401,77.231,76.673,76.314,75.688
"2010canada","hkovalainen",81.869,79.969,79.447,78.237,NA,NA
"2010canada","jalguersuari",80.823,79.274,77.331,77.027,77.029,NA
"2010canada","jbutton",78.127,77.961,76.699,76.371,75.742,75.52
"2010canada","jtrulli",82.543,81.346,79.013,78.698,NA,NA
"2010canada","kchandhok",81.977,80.879,NA,87.757,NA,NA
"2010canada","kkobayashi",80.186,79.142,77.548,78.019,NA,NA
"2010canada","ldigrassi",NA,81.577,79.844,79.675,NA,NA
"2010canada","lhamilton",78.352,77.522,76.058,75.889,75.528,75.105
"2010canada","mschumacher",78.285,77.688,76.536,76.598,76.492,NA
"2010canada","mwebber",79.609,77.273,76.34,76.423,75.692,75.373
"2010canada","nhulkenberg",79.282,78.447,77.121,76.77,76.438,NA
"2010canada","nrosberg",78.356,77.151,77.979,76.35,76.001,76.071
"2010canada","pdelarosa",80.584,78.658,77.609,77.611,77.384,NA
"2010canada","rbarrichello",79.313,78.385,77.789,76.88,76.434,NA
"2010canada","rkubica",78.662,77.529,76.653,76.37,75.682,75.715
"2010canada","sbuemi",80.32,79.168,77.633,77.356,76.928,NA
"2010canada","svettel",78.549,76.877,76.582,76.129,75.556,75.42
"2010canada","tglock",82.713,81.488,79.536,78.941,NA,NA
"2010canada","vliuzzi",79.097,77.903,76.814,77.086,76.171,75.648
"2010canada","vpetrov",79.549,78.582,76.982,76.569,76.844,NA
"2010europe","asutil",NA,100.02,98.5,99.021,98.851,NA
"2010europe","bsenna",107.123,104.095,102.611,102.851,NA,NA
"2010europe","falonso",102.421,99.283,98.513,98.472,98.179,98.075
"2010europe","fmassa",102.182,99.947,98.686,98.657,98.046,98.127
"2010europe","hkovalainen",104.491,102.467,101.303,100.882,NA,NA
"2010europe","jalguersuari",104.183,101.457,99.392,99.128,99.458,NA
"2010europe","jbutton",101.383,100.029,98.769,98.36,98.399,98.21
"2010europe","jtrulli",107.285,102.993,101.428,100.658,NA,NA
"2010europe","kchandhok",NA,104.566,102.622,102.6,NA,NA
"2010europe","kkobayashi",103.729,100.906,99.527,99.343,NA,NA
"2010europe","ldigrassi",107.356,103.854,102.354,102.086,NA,NA
"2010europe","lhamilton",101.339,99.749,98.816,98.697,98.158,97.969
"2010europe","mschumacher",102.312,100.287,99.222,98.994,99.234,NA
"2010europe","mwebber",102.275,99.427,98.313,98.549,98.041,97.662
"2010europe","nhulkenberg",102.707,101.371,99.105,98.843,98.523,98.428
"2010europe","nrosberg",101.175,99.65,98.822,98.752,98.627,NA
"2010europe","pdelarosa",103.397,100.945,99.699,99.003,99.264,NA
"2010europe","rbarrichello",102.463,100.174,98.623,98.449,98.326,98.428
"2010europe","rkubica",101.715,99.88,98.154,98.132,98.062,98.137
"2010europe","sbuemi",103.31,101.115,99.05,99.096,98.586,NA
"2010europe","svettel",102.216,99.339,98.052,98.324,98.015,97.587
"2010europe","tglock",105.653,103.811,101.955,102.14,NA,NA
"2010europe","vliuzzi",103.38,100.387,98.676,98.969,98.884,NA
"2010europe","vpetrov",102.962,100.618,99.113,99.004,98.552,98.523
"2010greatbritain","asutil",92.968,92.787,91.994,91.109,91.399,NA
"2010greatbritain","falonso",94.49,91.626,91.101,90.997,90.7,90.426
"2010greatbritain","fmassa",95.037,92.099,91.24,91.313,91.01,91.172
"2010greatbritain","hkovalainen",96.747,95.465,94.339,94.405,NA,NA
"2010greatbritain","jalguersuari",95.318,94.643,92.331,92.43,NA,NA
"2010greatbritain","jbutton",93.519,93.2,91.703,91.435,91.699,NA
"2010greatbritain","jtrulli",NA,102.901,96.098,94.864,NA,NA
"2010greatbritain","kchandhok",98.735,97.019,96.286,96.576,NA,NA
"2010greatbritain","kkobayashi",94.71,93.402,91.947,91.851,91.421,NA
"2010greatbritain","ldigrassi",97.518,96.237,95.479,95.212,NA,NA
"2010greatbritain","lhamilton",92.614,92.757,91.549,91.297,91.118,90.556
"2010greatbritain","mschumacher",93.955,92.66,91.555,92.058,91.022,91.43
"2010greatbritain","mwebber",92.747,91.234,90.992,90.858,90.114,89.758
"2010greatbritain","nhulkenberg",93.377,93.164,91.867,92.144,91.635,NA
"2010greatbritain","nrosberg",93.318,92.166,91.188,91.626,91.085,90.625
"2010greatbritain","pdelarosa",94.901,94.051,91.559,91.533,91.327,91.274
"2010greatbritain","rbarrichello",94.016,92.967,91.581,91.424,91.126,91.175
"2010greatbritain","rkubica",92.725,93.019,91.519,91.68,91.344,91.04
"2010greatbritain","sbuemi",94.132,93.836,92.235,91.901,92.012,NA
"2010greatbritain","svettel",92.28,91.875,90.958,90.841,90.48,89.615
"2010greatbritain","syamamoto",99.673,98.303,97.178,96.968,NA,NA
"2010greatbritain","tglock",97.33,96.553,96.64,94.775,NA,NA
"2010greatbritain","vliuzzi",NA,93.728,92.723,92.226,91.708,NA
"2010greatbritain","vpetrov",94.365,92.745,91.698,91.638,91.796,NA
"2010germany","asutil",85.701,77.701,NA,76.22,75.467,NA
"2010germany","bsenna",91.72,81.988,80.533,78.592,NA,NA
"2010germany","falonso",89.684,76.265,75.387,74.808,74.081,73.793
"2010germany","fmassa",86.85,76.438,75.854,75.216,74.478,74.29
"2010germany","hkovalainen",NA,80.377,79.193,78.3,NA,NA
"2010germany","jalguersuari",89.366,79.327,77.341,76.664,75.588,NA
"2010germany","jbutton",86.936,77.739,77.037,75.823,74.716,74.427
"2010germany","jtrulli",89.28,80.008,79.607,77.583,NA,NA
"2010germany","kkobayashi",89.69,77.336,76.882,75.951,75.084,NA
"2010germany","ldigrassi",89.5,80.106,83.444,NA,NA,NA
"2010germany","lhamilton",89.429,77.004,76.207,75.505,74.488,74.566
"2010germany","mschumacher",92.45,76.971,76.473,76.084,75.026,NA
"2010germany","mwebber",89.048,76.585,75.708,75.334,74.34,74.347
"2010germany","nhulkenberg",88.193,77.204,76.743,76.387,74.943,75.339
"2010germany","nrosberg",87.448,76.827,76.046,76.178,75.018,75.179
"2010germany","pdelarosa",88.486,77.573,77.22,76.45,75.55,NA
"2010germany","rbarrichello",86.947,77.056,76.481,76.398,74.698,75.109
"2010germany","rkubica",88.903,77.009,76.646,75.736,74.835,75.079
"2010germany","sbuemi",88.114,78.147,76.99,76.029,75.974,NA
"2010germany","svettel",88.735,76.294,75.103,75.152,74.249,73.791
"2010germany","syamamoto",92.791,83.066,81.538,79.844,NA,NA
"2010germany","tglock",88.735,79.553,83.873,78.343,NA,NA
"2010germany","vliuzzi",88.3,77.871,77.538,78.952,NA,NA
"2010germany","vpetrov",86.948,77.547,77.148,76.521,75.307,NA
"2010hungary","asutil",83.003,82.507,82.918,82.08,81.517,NA
"2010hungary","bsenna",86.99,86.745,86.479,86.391,NA,NA
"2010hungary","falonso",82.772,80.584,80.724,81.278,80.237,79.987
"2010hungary","fmassa",83.007,80.986,81.264,81.299,80.857,80.331
"2010hungary","hkovalainen",85.21,87.705,84.623,84.12,NA,NA
"2010hungary","jalguersuari",83.868,82.469,82.427,81.978,81.998,NA
"2010hungary","jbutton",82.444,81.73,81.473,81.422,81.292,NA
"2010hungary","jtrulli",85.032,84.553,84.576,84.199,NA,NA
"2010hungary","kkobayashi",83.327,82.212,82.337,82.222,NA,NA
"2010hungary","ldigrassi",86.686,85.669,84.547,85.118,NA,NA
"2010hungary","lhamilton",84.075,81.308,81.376,81.455,80.877,80.499
"2010hungary","mschumacher",82.792,81.773,81.939,81.84,81.63,NA
"2010hungary","mwebber",81.106,80.597,79.574,81.132,79.531,79.184
"2010hungary","nhulkenberg",82.966,81.623,81.513,81.598,81.275,81.71
"2010hungary","nrosberg",82.777,82.039,81.422,81.212,80.811,81.082
"2010hungary","pdelarosa",82.764,81.809,82.151,81.891,81.273,81.411
"2010hungary","rbarrichello",82.601,81.844,81.705,81.478,81.331,NA
"2010hungary","rkubica",82.072,81.375,81.066,81.159,80.867,81.328
"2010hungary","sbuemi",83.78,82.602,82.508,81.982,81.897,NA
"2010hungary","svettel",80.976,80.087,80.058,80.417,79.573,78.773
"2010hungary","syamamoto",88.157,86.798,87.176,86.453,NA,NA
"2010hungary","tglock",85.99,85.376,84.805,84.05,NA,NA
"2010hungary","vliuzzi",NA,83.138,83.708,81.789,81.927,NA
"2010hungary","vpetrov",83.249,81.195,81.399,81.558,80.797,81.229
"2010belgium","asutil",122.646,109.157,107.064,118.73,107.292,106.659
"2010belgium","bsenna",127.737,115.751,111.133,123.612,NA,NA
"2010belgium","falonso",120.797,109.032,106.627,117.023,107.544,107.441
"2010belgium","fmassa",123.601,109.588,106.962,118.323,107.322,106.314
"2010belgium","hkovalainen",127.955,113.48,111.384,121.343,110.98,NA
"2010belgium","jalguersuari",124.25,110.682,107.981,118.944,108.267,NA
"2010belgium","jbutton",122.913,109.755,106.397,117.981,106.79,106.206
"2010belgium","jtrulli",127.189,113.639,110.6,121.491,NA,NA
"2010belgium","kkobayashi",123.401,110.2,107.296,122.284,NA,NA
"2010belgium","ldigrassi",126.695,114.325,111.517,138.754,NA,NA
"2010belgium","lhamilton",121.567,109.248,106.223,116.706,106.211,105.863
"2010belgium","mschumacher",123.489,110.341,107.695,116.313,107.874,NA
"2010belgium","mwebber",122.926,111.636,106.106,117.352,107.253,105.778
"2010belgium","nhulkenberg",123.649,110.831,107.16,115.442,107.821,107.053
"2010belgium","nrosberg",123.654,110.382,107.837,114.826,107.885,NA
"2010belgium","pdelarosa",123.851,110.081,107.388,125.294,NA,NA
"2010belgium","rbarrichello",123.424,110.128,107.512,115.757,107.797,106.602
"2010belgium","rkubica",122.081,109.282,106.492,116.041,107.32,106.1
"2010belgium","sbuemi",125.68,111.523,107.905,120.386,109.209,NA
"2010belgium","svettel",122.45,109.689,106.396,118.487,107.245,106.127
"2010belgium","syamamoto",130.507,116.039,112.001,123.941,NA,NA
"2010belgium","tglock",125.697,123.179,111.669,121.316,112.049,NA
"2010belgium","vliuzzi",124.145,111.52,108.692,121.102,108.68,NA
"2010belgium","vpetrov",124.69,110.251,107.406,NA,NA,NA
"2010italy","asutil",NA,84.181,83.303,83.493,83.199,NA
"2010italy","bsenna",88.256,NA,87.471,86.847,NA,NA
"2010italy","falonso",84.543,82.915,82.644,82.646,82.297,81.962
"2010italy","fmassa",84.648,83.061,82.648,82.421,82.61,82.293
"2010italy","hkovalainen",87.374,86.306,85.925,85.742,NA,NA
"2010italy","jalguersuari",85.897,85.106,83.909,84.083,83.919,NA
"2010italy","jbutton",83.693,83.21,82.724,83.085,82.354,82.084
"2010italy","jtrulli",86.898,86.204,85.788,85.54,NA,NA
"2010italy","kkobayashi",85.334,84.785,83.908,84.273,83.659,NA
"2010italy","ldigrassi",86.956,86.631,86.682,85.974,NA,NA
"2010italy","lhamilton",83.967,83.154,82.498,82.83,82.394,82.623
"2010italy","mschumacher",84.756,84.448,83.896,83.84,83.388,NA
"2010italy","mwebber",84.446,83.415,83.082,83.431,82.706,82.433
"2010italy","nhulkenberg",84.841,83.852,83.129,83.516,82.989,83.037
"2010italy","nrosberg",84.129,83.857,82.946,83.529,83.055,83.027
"2010italy","pdelarosa",85.32,84.547,84.191,84.442,84.044,NA
"2010italy","rbarrichello",88.516,83.708,83.45,83.695,83.142,83.328
"2010italy","rkubica",84.12,83.709,83.209,83.234,82.88,83.039
"2010italy","sbuemi",85.318,84.517,83.673,83.744,83.681,NA
"2010italy","svettel",83.79,82.839,82.545,83.235,82.701,82.675
"2010italy","syamamoto",89.87,89.498,88.73,87.02,NA,NA
"2010italy","tglock",86.772,86.676,86.434,85.934,NA,NA
"2010italy","vliuzzi",84.512,84.38,84.439,85.774,NA,NA
"2010italy","vpetrov",85.292,84.407,83.967,84.086,83.819,NA
"2010singapore","asutil",114.827,109.984,109.916,108.496,108.899,NA
"2010singapore","bsenna",119.783,114.725,115.367,114.174,NA,NA
"2010singapore","cklien",123.424,115.542,114.826,112.946,NA,NA
"2010singapore","falonso",116.09,107.718,108.65,106.541,105.809,105.39
"2010singapore","fmassa",117.76,108.341,109.023,NA,NA,NA
"2010singapore","hkovalainen",116.603,111.878,113.146,110.915,NA,NA
"2010singapore","jalguersuari",115.16,110.191,110.067,108.127,107.666,NA
"2010singapore","jbutton",115.333,107.69,110.06,108.032,106.49,105.944
"2010singapore","jtrulli",NA,113.526,113.681,111.641,NA,NA
"2010singapore","kkobayashi",116.339,109.438,111.027,108.908,107.599,107.884
"2010singapore","ldigrassi",NA,113.431,113.297,111.107,NA,NA
"2010singapore","lhamilton",116.884,107.818,109,108.296,106.042,105.571
"2010singapore","mschumacher",114.708,108.889,110.067,108.425,107.16,106.702
"2010singapore","mwebber",114.589,107.287,109.212,107.088,105.908,105.977
"2010singapore","nheidfeld",116.458,109.558,111.016,108.696,108.557,NA
"2010singapore","nhulkenberg",116.84,109.153,109.304,107.984,107.674,NA
"2010singapore","nrosberg",116.598,108.679,109.056,108.554,106.783,106.443
"2010singapore","rbarrichello",116.615,108.302,110.053,108.183,107.019,106.236
"2010singapore","rkubica",115.672,108.855,109.52,107.657,106.949,106.593
"2010singapore","sbuemi",115.523,110.896,109.949,109.063,108.502,NA
"2010singapore","svettel",115.137,106.66,108.028,106.96,105.561,105.457
"2010singapore","tglock",119.034,112.15,112.34,110.721,NA,NA
"2010singapore","vliuzzi",115.51,109.896,110.868,108.988,108.961,NA
"2010singapore","vpetrov",115.914,109.608,110.04,108.906,108.165,NA
"2010japan","asutil",93.639,92.842,NA,93.186,92.659,NA
"2010japan","bsenna",98.814,97.352,NA,97.27,NA,NA
"2010japan","falonso",94.169,92.362,NA,92.555,91.819,91.352
"2010japan","fmassa",93.929,92.519,NA,92.721,92.321,NA
"2010japan","hkovalainen",96.949,96.095,NA,95.464,NA,NA
"2010japan","jalguersuari",95.684,94.055,115.902,93.471,93.071,NA
"2010japan","jbutton",94.042,92.533,NA,92.636,91.763,91.378
"2010japan","jtrulli",97.388,96.333,NA,95.346,NA,NA
"2010japan","kkobayashi",94.271,93.471,NA,92.783,92.427,NA
"2010japan","ldigrassi",NA,96.63,NA,96.265,NA,NA
"2010japan","lhamilton",93.643,93.481,NA,92.809,91.523,91.169
"2010japan","mschumacher",93.739,92.831,NA,92.513,92.073,91.846
"2010japan","mwebber",92.633,91.86,NA,92.476,91.241,90.853
"2010japan","nheidfeld",93.791,93.697,NA,93.011,92.187,NA
"2010japan","nhulkenberg",93.707,92.851,NA,92.211,91.926,91.559
"2010japan","nrosberg",93.831,92.88,NA,92.238,91.886,91.494
"2010japan","rbarrichello",93.677,93.564,NA,92.361,91.874,91.535
"2010japan","rkubica",93.129,92.2,NA,92.808,92.042,91.231
"2010japan","sbuemi",94.991,94.005,NA,93.568,NA,NA
"2010japan","svettel",92.585,91.465,NA,92.035,91.184,90.785
"2010japan","syamamoto",99.443,97.831,NA,97.365,NA,NA
"2010japan","tglock",97.329,96.834,127.497,96.332,NA,NA
"2010japan","vliuzzi",94.379,94.31,NA,93.216,93.154,NA
"2010japan","vpetrov",94.373,92.703,NA,92.849,92.422,NA
"2010korea","asutil",103.602,99.971,98.632,98.572,97.783,NA
"2010korea","bsenna",110.821,106.649,103.417,103.283,NA,NA
"2010korea","falonso",103.928,98.132,97.426,97.144,96.287,95.766
"2010korea","fmassa",103.054,98.82,97.955,97.515,96.169,96.571
"2010korea","hkovalainen",107.115,102.773,102.095,101.768,NA,NA
"2010korea","jalguersuari",105.141,100.578,99.159,98.583,97.853,NA
"2010korea","jbutton",101.94,98.726,98.419,98.123,97.064,96.731
"2010korea","jtrulli",111.701,102.801,101.623,100.521,NA,NA
"2010korea","kkobayashi",103.309,99.564,99.145,98.429,97.643,NA
